,Data Updated:,"May 23, 2025",,,,,,,,,,,,,,
,96,C1_SS_NKL_NE08_1,C1_SS_NKL_NE08_1,สฟฟ.นครหลวง,สฟฟ.นครหลวง,สฟฟ.นครหลวง,10.10.50.209,NE08E-S6E,4,C1,NKL,,,,,
,97,C1_SS_SNA_NE08_1,C1_SS_SNA_NE08_1,สฟฟ.เสนา,สฟฟ.เสนา,สฟฟ.เสนา,10.10.50.21,NE08E-S6,1,C1,SNA,,,,,
,98,C1_EO_PCH_NE08_1,C1_EO_PCH_NE08_1,กฟย.ภาชี,กฟย.ภาชี,กฟย.ภาชี,10.10.50.210,NE08E-S6E,4,C1,PCH,,,,,
,99,C1_E0_TRE_NE08_1,C1_EO_TRE_NE08_1,กฟส.ท่าเรือ,กฟส.ท่าเรือ,กฟอ.ท่าเรือ,10.10.50.211,NE08E-S6E,4,C1,TRE,,,,,
,100,C1_SS_MLK_NE08_1,C1_SS_MLK_NE08_1,สฟฟ.มวกเหล็ก,สฟฟ.มวกเหล็ก,สฟฟ.มวกเหล็ก,10.10.50.212,NE08E-S6E,4,C1,MLK,,,,,
,101,C1_SS_WAM_NE08_1,C1_SS_WAM_NE08_1,สฟฟ.วังม่วง,สฟฟ.วังม่วง,สฟฟ.วังม่วง,10.10.50.213,NE08E-S6E,4,C1,WAM,,,,,
,102,C1_E0_PJA_NE08_1,C1_EO_PPT_NE08_1,กฟอ.พระพุทธบาท,กฟอ.พระพุทธบาท,กฟอ.พระพุทธบาท,10.10.50.214,NE08E-S6E,4,C1,PPT,,,,,
,103,C1_SS_RCQ_NE08_1,New_C1_SS_RCQ_NE08_1,สฟฟ.โรจนะ 3,สฟฟ.โรจนะ 3,สฟฟ.โรจนะ 3,10.10.50.215,NE08E-S6E,4,C1,RCQ,,,,,
,104,C1_SS_RCR_NE08_1,New_C1_SS_RCR_NE08_1,สฟฟ.โรจนะ 4,สฟฟ.โรจนะ 4,สฟฟ.โรจนะ 4,10.10.50.216,NE08E-S6E,4,C1,RCR,,,,,
,105,C1_SS_BLS_NE08_1,New_C1_SS_BLS_NE08_1,สฟฟ.บ้านลาดทราย,สฟฟ.บ้านลาดทราย,สฟฟ.บ้านลาดทราย,10.10.50.217,NE08E-S6E,4,C1,BLS,,,,,
,106,C1_SS_WAB_NE08_1,C1_SS_WAB_NE8K_1,สฟฟ.วังน้อย2,สฟฟ.วังน้อย2,สฟฟ.วังน้อย 2 (ช),10.10.50.218,NetEngine 8000 M6,4,C1,WAB,,,,,
,107,C1_SS_SRD_NE08_1,New_C1_SS_SRD_NE08_1,สฟฟ.สระบุรี 4,สฟฟ.สระบุรี 4,สฟฟ.สระบุรี 4,10.10.50.219,NE08E-S6E,4,C1,RSD,,,,,
,108,C1_EO_SEN_NE08_1,C1_EO_SEN_NE08_1,กฟอ.เสนา(DE.Sena),กฟอ.เสนา,กฟอ.เสนา,10.10.50.22,NE08E-S6,1,C1,SEN,,,,,
,109,C1_SS_PJA_NE08_1,C1_SS_PJA_NE08_1,สฟฟ.พระพุทธบาท 1,สฟฟ.พระพุทธบาท 1,สฟฟ.พระพุทธบาท 1,10.10.50.220,NE08E-S6E,4,C1,PJA,,,,,
,110,C1_SS_NOI_NE08_1,New_C1_SS_NOI_NE08_1,สฟฟ.หนองแค 2,สฟฟ.หนองแค 2,สฟฟ.หนองแค 2,10.10.50.221,NE08E-S6E,4,C1,NOI,,,,,
,111,C1_SS_RCS_NE08_1,C1_SS_RCS_NE08_1,สฟฟ.โรจนะ 5,สฟฟ.โรจนะ 5,สฟฟ.โรจนะ 5,10.10.50.222,NE08E-S6,4,C1,RCS,,,,,
,112,C1_SS_PJB_NE08_1,C1_SS_PJB_NE08_1,สฟฟ.พระพุทธบาท 2,สฟฟ.พระพุทธบาท 2,สฟฟ.พระพุทธบาท 2,10.10.50.223,NE08E-S6E,4,C1,PJB,,,,,
,113,C1_EO_UTH_NE8K_1,New_C1_EO_UTH_NE8K_1,กฟส.อุทัย (แทรกกลาง),กฟส.อุทัย (แทรกกลาง),กฟส.อุทัย,10.10.50.224,NetEngine 8000 M6,4,C1,UTH,,,,,
,114,C1_EO_WAA_NE8K_1,C1_EO_WNI_NE08_1,กฟอ.วังน้อย,กฟอ.วังน้อย,กฟอ.วังน้อย,10.10.50.225,NE08E-S6E,4,C1,WNI,,,,,
,115,C1_EO_NOH_NE8K_1,New_C1_EO_NOK_NE8K_1,กฟอ.หนองแค,กฟอ.หนองแค,กฟอ.หนองแค,10.10.50.226,NetEngine 8000 M6,4,C1,NOK,,,,,
,116,C1_WH_SRA_NE8K_1,C1_WH_SBI_NE8K_1,คลังพัสดุสระบุรี,คลังพัสดุสระบุรี,คลังพัสดุสระบุรี,10.10.50.227,NetEngine 8000 M6,4,C1,SBI,,,,,
,117,C1_SS_SRF_NE8K_1,C1_SS_SRF_NE8K_1,สฟฟ.สระบุรี 6,สฟฟ.สระบุรี 6,สฟฟ.สระบุรี 6,10.10.50.228,NetEngine 8000 M6,4,C1,SRF,,,,,
,118,C1_SS_AYA_NE08_1,C1_SS_AYA_NE08_1,สฟฟ.อยุธยา 1,สฟฟ.อยุธยา 1,สฟฟ.อยุธยา 1,10.10.50.23,NE08E-S6,1,C1,AYA,,,,,
,119,C1_EO_BMO_NE8K_1,C1_EO_BMO_NE8K_1,กฟย.บ้านหมอ,กฟย.บ้านหมอ,กฟย.บ้านหมอ,10.10.50.230,NetEngine 8000 M6,4,C1,BMO,,,,,
,120,C1_EO_NSG_NE8K_1,C1_EO_NSG_NE8K_1,กฟย.หนองแซง,กฟย.หนองแซง,กฟย.หนองแซง,10.10.50.231,NetEngine 8000 M6,4,C1,NSG,,,,,
,121,C1_EO_SHI_NE8K_1,New_C1_EO_SHI_NE8K_1,กฟย.เสาไห้,กฟย.เสาไห้,กฟย.เสาไห้,10.10.50.232,NetEngine 8000 M6,4,C1,SHI,,,,,
,122,C1_EO_WAM_NE8K_1,C1_EO_WMG_NE8K_1,กฟย.วังม่วง,กฟย.วังม่วง,กฟย.วังม่วง,10.10.50.233,NetEngine 8000 M6,4,C1,WMG,,,,,
,123,C1_EO_SSN_NE8K_1,C1_EO_SSN_NE8K_1,กฟย.ซับสนุ่น,กฟย.ซับสนุ่น,กฟย.ซับสนุ่น,10.10.50.234,NetEngine 8000 M6,4,C1,SSN,,,,,
,124,C1_EO_MLK_NE8K_1,C1_EO_MKL_NE8K_1,กฟส.มวกเหล็ก,กฟส.มวกเหล็ก,กฟส.มวกเหล็ก,10.10.50.235,NetEngine 8000 M6,4,C1,MKL,,,,,
,125,C3_WH_TAR_NE8K_1,C1_WH_TRE_NE8K_1,คลังพัสดุท่าเรือ,คลังพัสดุท่าเรือ,คลังพัสดุท่าเรือ,10.10.50.236,NetEngine 8000 M6,4,C1,TRE,,,,,
,126,C1_EO_SRA_NE08_2,C1_EO_SBI_NE08_2,กฟจ.สระบุรี,กฟจ.สระบุรี,กฟจ.สระบุรี,10.10.50.237,NE08E-S6,4,C1,SBI,,,,,
,127,New_C1_EO_BHK_NE08_2,C1_EO_BHK_NE08_2,กฟฟ.บ้านหินกอง,กฟฟ.บ้านหินกอง,กฟฟ.บ้านหินกอง,10.10.50.238,NE08E-S6,4,C1,BHK,,,,,
,128,C1_WH_PJA_NE8K_1,C1_WH_PJA_NE8K_1,คลังพัสดุพระพุทธบาท,คลังพัสดุพระพุทธบาท,คลังพัสดุพระพุทธบาท,10.10.50.239,NetEngine 8000 M6,4,C1,PJA,,,,,
,129,C1_EO_AYY_NE08_1,C1_EO_AYY_NE08_1,กฟจ.อยุธยา,กฟจ.อยุธยา,กฟจ.อยุธยา,10.10.50.24,NE08E-S6,1,C1,AYY,,,,,
,130,C1_EO_NDN_NE8K_1,C1_EO_NDN_NE8K_1,กฟย.หนองโดน,กฟย.หนองโดน,กฟย.หนองโดน,10.10.50.240,NetEngine 8000 M6,4,C1,NDN,,,,,
,131,C1_SS_BSA_NE08_1,C1_SS_BSA_NE08_1,สฟฟ.บางไทร,สฟฟ.บางไทร,สฟฟ.บางไทร,10.10.50.25,NE08E-S6,1,C1,BSA,,,,,
,132,C1_EO_SAK_NE08_1,C1_EO_SKO_NE08_1,กฟส.สามโคก(BE.Sam Kok),กฟส.สามโคก,กฟส.สามโคก,10.10.50.26,NE08E-S6,1,C1,SKO,,,,,
,133,C1_SMC_NE08_1_HQ,C1_SMC_NE08_1_HQ,IP Access SMC 1,IP Access SMC 1,IP Access SMC 1,10.10.50.27,NE08E-S6E,1,HQ,SMC,,,,,
,134,C1_DC_NE08_1_HQ,C1_DC_NE08_1_HQ,IP Access Data Center 1,IP Access Data Center 1,IP Access Data Center 1,10.10.50.28,NE08E-S6E,1,HQ,DC1,,,,,
,135,C1_SS_BKT_NE08_1,New_C1_SS_BKT_NE08_1,สฟฟ.บางกระสั้น 2,สฟฟ.บางกระสั้น 2,สฟฟ.บางกระสั้น 2,10.10.50.29,NE08E-S6E,1,C1,BKT,,,,,
,136,C1_SS_BIB_NE08_1,C1_SS_BIB_NE08_1,สฟฟ.บางปะอิน 2,สฟฟ.บางปะอิน 2,สฟฟ.บางปะอิน 2,10.10.50.3,NE08E-S6,1,C1,BIB,,,,,
,137,C1_SS_PQB_NE08_1,New_C1_SS_PQB_NE08_1,สฟฟ.ปทุมธานี 2,สฟฟ.ปทุมธานี 2,สฟฟ.ปทุมธานี 2,10.10.50.30,NE08E-S6E,1,C1,PQB,,,,,
,138,C1_SS_PQC_NE08_1,New_C1_SS_PQC_NE08_1,สฟฟ.ปทุมธานี 3,สฟฟ.ปทุมธานี 3,สฟฟ.ปทุมธานี 3,10.10.50.31,NE08E-S6E,1,C1,PQC,,,,,
,139,C1_SS_NVA_NE08_1,New_C1_SS_NVA_NE08_1,สฟฟ.นวนคร 1,สฟฟ.นวนคร 1,สฟฟ.นวนคร 1,10.10.50.32,NE08E-S6E,1,C1,NVA,,,,,
,140,C1_SS_NVB_NE08_1,New_C1_SS_NVB_NE08_1,สฟฟ.นวนคร 2,สฟฟ.นวนคร 2,สฟฟ.นวนคร 2,10.10.50.33,NE08E-S6E,1,C1,NVB,,,,,
,141,C1_SS_NVC_NE08_1,New_C1_SS_NVC_NE08_1,สฟฟ.นวนคร 3,สฟฟ.นวนคร 3,สฟฟ.นวนคร 3,10.10.50.34,NE08E-S6E,1,C1,NVC,,,,,
,142,C1_SS_NVD_NE08_1,New_C1_SS_NVD_NE08_1,สฟฟ.นวนคร 4,สฟฟ.นวนคร 4,สฟฟ.นวนคร 4,10.10.50.35,NE08E-S6E,1,C1,NVD,,,,,
,143,C1_EO_PQB_NE08_1,New_C1_EO_PT2_NE08_1,กฟฟ.ปทุมธานี 2 (บางกระดี) ,กฟฟ.ปทุมธานี 2 (บางกระดี) ,กฟจ.ปทุมธานี 2,10.10.50.36,NE08E-S6E,1,C1,PT2,,,,,
,144,C1_SS_BMB_NE08_1,New_C1_SS_BMB_NE08_1,สฟฟ.บ้านใหม่ 2,สฟฟ.บ้านใหม่ 2,สฟฟ.บ้านใหม่ 2,10.10.50.37,NE08E-S6E,1,C1,BMB,,,,,
,145,C1_SS_BKU_NE08_1,New_C1_SS_BKU_NE08_1,สฟฟ.บางขันธ์ 2 ชั่วคราว,สฟฟ.บางขันธ์ 2 ชั่วคราว,สฟฟ.บางขันธ์ 2 (ช),10.10.50.39,NE08E-S6E,1,C1,BKU,,,,,
,146,C1_EO_PNI_NE08_1,C1_EO_PNI_NE08_1,กฟส.ประตูน้ำพระอินทร์,กฟส.ประตูน้ำพระอินทร์,กฟฟ.ประตูน้ำพระอินทร์,10.10.50.4,NE08E-S6,1,C1,PNI,,,,,
,147,C1_SS_PQA_NE08_1,New_C1_SS_PQA_NE08_1,สฟฟ.ปทุมธานี 1,สฟฟ.ปทุมธานี 1,สฟฟ.ปทุมธานี 1,10.10.50.40,NE08E-S6E,1,C1,PQA,,,,,
,148,C1_SS_PQD_NE08_1,New_C1_SS_PQD_NE08_1,สฟฟ.ปทุมธานี 4,สฟฟ.ปทุมธานี 4,สฟฟ.ปทุมธานี 4,10.10.50.41,NE08E-S6E,1,C1,PQD,,,,,
,149,C1_EO_BIA_NE08_1,New_C1_EO_BIN_NE08_1,กฟอ.บางปะอิน,กฟอ.บางปะอิน,กฟอ.บางปะอิน,10.10.50.42,NE08E-S6E,1,C1,BIN,,,,,
,150,C1_SS_BNM_NE08_1,New_C1_SS_BNM_NE08_1,สฟฟ.บ้านเลน 2,สฟฟ.บ้านเลน 2,สฟฟ.บ้านเลน 2,10.10.50.43,NE08E-S6E,1,C1,BNM,,,,,
,151,C1_EO_NE08_2_HQ,C1_EO_NE08_2_HQ,สำนักงานใหญ่ กฟภ. (อสก.3),สำนักงานใหญ่ กฟภ. (อสก.3),สำนักงานใหญ่ กฟภ. (อสก.3),10.10.50.45,NE08E-S6,1,HQ,HQ,,,,,
,152,C1_EO_RST_NE08_3,C1_EO_RST_NE08_3,กฟฟ.รังสิต,กฟฟ.รังสิต,กฟฟ.รังสิต,10.10.50.46,NE08E-S6E,1,C1,RST,,,,,
,153,C1_EO_LLO_NE08_2,New_C1_EO_LLO_NE08_2,กฟอ.ลาดหลุมแก้ว,กฟอ.ลาดหลุมแก้ว,กฟอ.ลาดหลุมแก้ว,10.10.50.47,NE08E-S6E,1,C1,LLO,,,,,
,154,C1_HQ_EO_DC_NE8K_2,C1_DC_NE8K_1_HQ,IP Access Data Center 2,IP Access Data Center 2,IP Access Data Center 2,10.10.50.48,NetEngine 8000 M6,1,HQ,DC2,,,,,
,155,C1_HQ_EO_SMC_NE8K_2,C1_SMC_NE8K_1_HQ,IP Access SMC 2,IP Access SMC 2,IP Access SMC 2,10.10.50.49,NetEngine 8000 M6,1,HQ,SMC,,,,,
,156,C1_SS_BKA_NE08_1,C1_SS_BKA_NE08_1,สฟฟ.บางขันธ์,สฟฟ.บางขันธ์ 1,สฟฟ.บางขันธ์ 1,10.10.50.5,NE08E-S6,1,C1,BKA,,,,,
,157,C1_HQ_EO_DRC_NE8K_1,C1_HQ_EO_DRC_NE8K_1,DRC#1,DRC#1,DRC#1,10.10.50.50,NetEngine 8000 M6,1,HQ,DRC1,,,,,
,158,C1_HQ_EO_DRC_NE8K_2,C1_HQ_EO_DRC_NE8K_2,DRC#2,DRC#2,DRC#2,10.10.50.51,NetEngine 8000 M6,1,HQ,DRC2,,,,,
,159,C1_WH_LAK_NE8K_1,New_C1_WH_LLO_NE8K_1,คลังพัสดุลาดหลุมแก้ว,คลังพัสดุลาดหลุมแก้ว,คลังพัสดุลาดหลุมแก้ว,10.10.50.52,NetEngine 8000 M6,1,C1,LLO,,,,,
,160,C1_EO_LBL_NE8K_1,C1_EO_LBL_NE8K_1,กฟส.ลาดบัวหลวง,กฟส.ลาดบัวหลวง,กฟส.ลาดบัวหลวง,10.10.50.53,NetEngine 8000 M6,1,C1,LLK,,,,,
,161,C1_EO_BSA_NE8K_1,New_C1_EO_BSA_NE8K_1,กฟย.บางไทร,กฟย.บางไทร,กฟย.บางไทร,10.10.50.54,NetEngine 8000 M6,1,C1,RST,,,,,
,162,C1_WH_RST_NE8K_1,C1_WH_RST_NE8K_1,คลังพัสดุรังสิต,คลังพัสดุรังสิต,คลังพัสดุรังสิต,10.10.50.55,NetEngine 8000 M6,1,C1,RST,,,,,
,163,C1_EO_RST_NE08_1,C1_EO_RST_NE08_1,กฟฟ.รังสิต(PEA.Rangsit),กฟฟ.รังสิต,กฟฟ.รังสิต,10.10.50.6,NE08E-S6,1,C1,RST,,,,,
,164,C1_ADDC_EO_AYY_NE08_2,C1_ADDC_EO_AYY_NE08_2,ศจฟ. กฟก.1 (อยุธยา) (Ayutthaya),ศจฟ. กฟก.1 ,ศจฟ.กฟก.1,10.10.50.64,NE08E-S6,2,C1,AYY,,,,,
,165,C1_SS_KYE_NE08_1,C1_SS_KYE_NE08_1,สฟฟ.โคกแย้(ES.kok Yae),สฟฟ.โคกแย้,สฟฟ.โคกแย้,10.10.50.65,NE08E-S6,2,C1,KYE,,,,,
,166,C1_SS_WIA_NE08_1,C1_SS_WIA_NE08_1,สฟฟ.วิหารแดง(ES.Wihan Daeng),สฟฟ.วิหารแดง,สฟฟ.วิหารแดง,10.10.50.66,NE08E-S6,2,C1,WIA,,,,,
,167,C1_SS_NYA_NE08_1,C1_SS_NYA_NE08_1,สฟฟ.นครนายก 1(ES.Nakhon Nayok 1),สฟฟ.นครนายก 1,สฟฟ.นครนายก 1,10.10.50.67,NE08E-S6,2,C1,NYA,,,,,
,168,C1_SS_OKA_NE08_1,C1_SS_OKA_NE08_1,สฟฟ.องครักษ์(ES.Ongkharak),สฟฟ.องครักษ์,สฟฟ.องครักษ์,10.10.50.68,NE08E-S6,2,C1,OKA,,,,,
,169,C1_SS_TYA_NE08_1,New_C1_SS_TYA_NE8K_1,สฟฟ.ธัญบุรี(ES.Thunyaburi),สฟฟ.ธัญบุรี,สฟฟ.ธัญบุรี,10.10.50.69,NetEngine 8000 M6,2,C1,TYA,,,,,
,170,C1_SS_BIA_NE08_1,C1_SS_BIA_NE08_1,สฟฟ.บางปะอิน 1,สฟฟ.บางปะอิน 1,สฟฟ.บางปะอิน 1,10.10.50.7,NE08E-S6,1,C1,BIA,,,,,
,171,C1_EO_RST_NE08_2,C1_EO_RST_NE08_2,กฟฟ.รังสิต(PEA.Rangsit),กฟฟ.รังสิต,กฟฟ.รังสิต,10.10.50.70,NE08E-S6,2,C1,RST,,,,,
,172,C1_SS_RCO_NE08_1,C1_SS_RCO_NE08_1,สฟฟ.โรจนะ 2(ES.Rojana 2),สฟฟ.โรจนะ 2,สฟฟ.โรจนะ 2,10.10.50.71,NE08E-S6,2,C1,RCO,,,,,
,173,C1_E0_KLO_NE08_1,New_C1_EO_KLG_NE08_1,กฟอ.คลองหลวง,กฟอ.คลองหลวง,กฟอ.คลองหลวง,10.10.50.72,NE08E-S6E,2,C1,KLO,,,,,
,174,C1_SS_KLO_NE08_1,New_C1_SS_KLO_NE08_1,สฟฟ.คลองหลวง,สฟฟ.คลองหลวง,สฟฟ.คลองหลวง,10.10.50.73,NE08E-S6E,2,C1,RGA,,,,,
,175,C1_SS_RGA_NE08_1,New_C1_SS_RGA_NE08_1,สฟฟ.รังสิต 1 (เมืองเอก),สฟฟ.รังสิต 1 (เมืองเอก),สฟฟ.รังสิต 1,10.10.50.74,NE08E-S6E,2,C1,RSA,,,,,
,176,C1_SS_RSA_NE08_1,New_C1_SS_RSA_NE08_1,สฟฟ.รังสิตใต้,สฟฟ.รังสิตใต้ 1,สฟฟ.รังสิตใต้ 1,10.10.50.75,NE08E-S6E,2,C1,RSA,,,,,
,177,C1_SS_KHL_NE08_1,New_C1_SS_KHL_NE08_1,สฟฟ.คลองสี่,สฟฟ.คลองสี่,สฟฟ.คลองสี่,10.10.50.76,NE08E-S6E,2,C1,LLK,,,,,
,178,C1_E0_LLK_NE08_1,New_C1_EO_LLK_NE08_1,กฟอ.ลำลูกกา,กฟอ.ลำลูกกา,กฟอ.ลำลูกกา,10.10.50.77,NE08E-S6E,2,C1,NE8,,,,,
,179,C1_SS_LLK_NE08_1,C1_SS_LLK_NE8K_1,สฟฟ.ลำลูกกา 1,สฟฟ.ลำลูกกา 1,สฟฟ.ลำลูกกา 1,10.10.50.78,NetEngine 8000 M6,2,C1,LLK,,,,,
,180,C1_SS_BNA_NE08_1,New_C1_EO_BNA_NE08_1,กฟอ.บ้านนา,กฟอ.บ้านนา,กฟส.บ้านนา,10.10.50.79,NE08E-S6E,2,C1,NE0,,,,,
,181,C1_SS_BKS_NE08_1,C1_SS_BKS_NE08_1,สฟฟ.บางกระสั้น 1,สฟฟ.บางกระสั้น 1,สฟฟ.บางกระสั้น 1,10.10.50.8,NE08E-S6,1,C1,BKS,,,,,
,182,C1_SS_GUN_NE80_1,New_C1_SS_GUN_NE08_1,สฟฟ.คลองหนึ่ง ชั่วคราว,สฟฟ.คลองหนึ่ง ชั่วคราว,สฟฟ.คลองหนึ่ง (ช),10.10.50.80,NE08E-S6E,2,C1,KIU,,,,,
,183,C1_SS_KIU_NE80_1,New_C1_SS_KIU_NE08_1,สฟฟ.คลองสอง ชั่วคราว,สฟฟ.คลองสอง ชั่วคราว,สฟฟ.คลองสอง (ช),10.10.50.81,NE08E-S6E,2,C1,RSB,,,,,
,184,C1_SS_RSB_NE08_1,New_C1_SS_RSB_NE08_1,สฟฟ.รังสิตใต้ 2 ชั่วคราว,สฟฟ.รังสิตใต้ 2 ชั่วคราว,สฟฟ.รังสิตใต้ 2 (ช),10.10.50.82,NE08E-S6E,2,C1,RSB,,,,,
,185,C1_SS_KLJ_NE08_1,New_C1_SS_KHC_NE08_1,สฟฟ.คลองเจ็ด ชั่วคราว,สฟฟ.คลองเจ็ด ชั่วคราว,สฟฟ.คลองเจ็ด (ช),10.10.50.83,NE08E-S6E,2,C1,LLL,,,,,
,186,C1_SS_LLL_NE08_1,New_C1_SS_LLL_NE08_1,สฟฟ.ลำลูกกา 2,สฟฟ.ลำลูกกา 2,สฟฟ.ลำลูกกา 2,10.10.50.84,NE08E-S6E,2,C1,NE0,,,,,
,187,C1_SS_KHU_NE08_1,C1_SS_KQA_NE08_1,สฟฟ.คูคต ชั่วคราว,สฟฟ.คูคต ชั่วคราว,สฟฟ.คูคต (ช),10.10.50.85,NE08E-S6E,2,C1,KQA,,,,,
,188,C1_EO_RST_NE08_4,C1_EO_RST_NE08_4,กฟฟ.รังสิต(PEA.Rangsit),กฟฟ.รังสิต,กฟฟ.รังสิต,10.10.50.86,NE08E-S6E,2,C1,TYA,,,,,
,189,C1_SS_TYA_NE08_2,New_C1_SS_TYA_NE08_2,สฟฟ.ธัญบุรี,สฟฟ.ธัญบุรี,สฟฟ.ธัญบุรี,10.10.50.87,NE08E-S6E,2,C1,NNS,,,,,
,190,C1_EO_NNS_NE8K_1,New_C1_EO_NNS_NE8K_1,กฟส.หนองเสือ,กฟส.หนองเสือ,กฟส.หนองเสือ,10.10.50.88,NetEngine 8000 M6,2,C1,TYI,,,,,
,191,C1_EO_TYA_NE8K_1,New_C1_EO_TYI_NE8K_1,กฟอ.ธัญบุรี,กฟอ.ธัญบุรี,กฟอ.ธัญบุรี,10.10.50.89,NetEngine 8000 M6,2,C1,NE0,,,,,
,192,C1_SS_BIC_NE08_1,C1_SS_BIC_NE08_1,สฟฟ.บางปะอิน 3,สฟฟ.บางปะอิน 3,สฟฟ.บางปะอิน 3,10.10.50.9,NE08E-S6,1,C1,BIC,,,,,
,193,C1_SS_MUB_NE8K_1,C1_SS_MUB_NE8K_1,สฟฟ.เมืองเอก 2,สฟฟ.เมืองเอก 2,สฟฟ.เมืองเอก 2,10.10.50.90,NetEngine 8000 M6,2,C1,MUB,,,,,
